B,Dia,Torque,F,BearingType,A,L,L2,d1,K,M,N,Q,P,H1,h2,h3,b1,d0,Inertia,Weight,CAD_Code
1200,1400,120,660,23160,1900,1400,1150,280,470,320,170,940,1150,330,100,292,63,M36,1131,6254,120A210Y(Z)
1200,1400,160,800,23268,2050,1400,1300,300,470,470,260,1010,1200,380,120,314,70,M42,1331,8333,120A310Y(Z)
1200,1600,120,660,23160,1900,1400,1150,280,470,320,170,940,1150,330,100,292,63,M36,1902,7187,120A111Y(Z)
1200,1600,160,800,23268,2050,1400,1300,300,470,470,260,1010,1200,380,120,314,70,M42,2066,9059,120A211Y(Z)
1400,800,20,100,22228,2050,1600,1125,130,250,120,,480,570,170,63,137,32,M30,111.8,1422,140A107Y(Z)
1400,800,27,130,22232,2050,1600,1125,150,250,200,105,520,640,200,65,158,36,M30,113.8,1633,140A207Y(Z)
1400,800,40,170,22236,2050,1600,1135,170,300,220,120,570,700,220,70,179,40,M30,115.8,2004,140A307Y(Z)
1400,800,52,210,23240,2100,1600,1220,190,350,255,140,640,780,240,75,200,45,M30,135.3,2674,140A407Y(Z)
1400,800,66,320,23244,2100,1600,1220,200,350,270,140,720,880,270,80,210,45,M36,166,3204,140A507Y(Z)
1400,1000,20,100,22228,2050,1600,1125,130,250,120,,480,570,170,63,137,32,M30,202.5,1633,140A108Y(Z)
1400,1000,27,160,22232,2050,1600,1125,150,250,200,105,520,640,200,65,158,36,M30,204.8,1902,140A208Y(Z)
1400,1000,40,210,22236,2050,1600,1135,170,300,220,120,570,700,220,70,179,40,M30,236.5,2267,140A308Y(Z)
1400,1000,52,260,23240,2100,1600,1220,190,350,255,140,640,780,240,75,200,45,M30,299.5,3089,140A408Y(Z)
1400,1000,66,300,23244,2100,1600,1220,200,350,270,140,720,880,270,80,210,45,M36,300,3534,140A508Y(Z)
1400,1000,80,450,23248,2100,1600,1250,220,350,300,150,750,900,290,90,231,50,M36,351,4042,140A608Y(Z)
1400,1250,52,260,23248,2100,1600,1250,220,350,300,150,750,900,290,90,231,50,M36,541,4507,140A109Y(Z)
